"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
295, 1.080049769585265e+01, 0.000000000000000e+00, 3.305175695757539e+05, 0.000000000000000e+00, 2.628564017318677e+00
21, 1.085050000000000e+01, 0.000000000000000e+00, 3.305913111020998e+05, 0.000000000000000e+00, 2.628415503834235e+00
296, 1.075049539170530e+01, 0.000000000000000e+00, 3.302371229068372e+05, 0.000000000000000e+00, 2.629129689428276e+00
297, 1.070049308755795e+01, 0.000000000000000e+00, 3.299419745057650e+05, 0.000000000000000e+00, 2.629726370729429e+00
298, 1.065049078341061e+01, 0.000000000000000e+00, 3.296192101577874e+05, 0.000000000000000e+00, 2.630385829964116e+00
299, 1.060048847926326e+01, 0.000000000000000e+00, 3.293854345931404e+05, 0.000000000000000e+00, 2.630873886478814e+00
300, 1.055048617511591e+01, 0.000000000000000e+00, 3.291819899347889e+05, 0.000000000000000e+00, 2.631296199969109e+00
301, 1.050048387096856e+01, 0.000000000000000e+00, 3.289389596853976e+05, 0.000000000000000e+00, 2.631793452355516e+00
302, 1.045048156682121e+01, 0.000000000000000e+00, 3.285912116557197e+05, 0.000000000000000e+00, 2.632499400563933e+00
303, 1.040047926267386e+01, 0.000000000000000e+00, 3.283444985626491e+05, 0.000000000000000e+00, 2.633006312002437e+00
304, 1.035047695852651e+01, 0.000000000000000e+00, 3.280991635184198e+05, 0.000000000000000e+00, 2.633507131813082e+00
305, 1.030047465437917e+01, 0.000000000000000e+00, 3.278107350652894e+05, 0.000000000000000e+00, 2.634092098828579e+00
306, 1.025047235023182e+01, 0.000000000000000e+00, 3.275173062026356e+05, 0.000000000000000e+00, 2.634690077717385e+00
307, 1.020047004608447e+01, 0.000000000000000e+00, 3.273054236128955e+05, 0.000000000000000e+00, 2.635124943907297e+00
308, 1.015046774193712e+01, 0.000000000000000e+00, 3.270390751147607e+05, 0.000000000000000e+00, 2.635669138243023e+00
309, 1.010046543778977e+01, 0.000000000000000e+00, 3.267306805572195e+05, 0.000000000000000e+00, 2.636301744383533e+00
310, 1.005046313364242e+01, 0.000000000000000e+00, 3.264447918442693e+05, 0.000000000000000e+00, 2.636891370851231e+00
311, 1.000046082949506e+01, 0.000000000000000e+00, 3.261969860622141e+05, 0.000000000000000e+00, 2.637404148108310e+00
312, 9.950458525347509e+00, 0.000000000000000e+00, 3.259337865492765e+05, 0.000000000000000e+00, 2.637942719932655e+00
313, 9.900456221199885e+00, 0.000000000000000e+00, 3.256463209722042e+05, 0.000000000000000e+00, 2.638530345602815e+00
314, 9.850453917052127e+00, 0.000000000000000e+00, 3.254095032728143e+05, 0.000000000000000e+00, 2.639020513536308e+00
315, 9.800451612904503e+00, 0.000000000000000e+00, 3.251121811628633e+05, 0.000000000000000e+00, 2.639633302947827e+00
